track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,song,text
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,See You Again,"I got my sights set on you and I'm ready to aim  
I have a heart that will never be tamed  
I knew you were somethin' special when you spoke my name  
Now I can't wait to see you again  
  
I've got a way of knowin' when somethin' is right  
I feel like I must have known you in another life  
'Cause I felt this deep connection when you looked in my eyes  
Now I can't wait to see you again  
  
The last time I freaked out, I just kept lookin' down  
I st-st-stuttered when you asked me what I'm thinkin' 'bout  
Felt like I couldn't breathe, you asked what's wrong with me  
My best friend Lesley said, ""Oh she's just being Miley""  
  
The next time we hang out, I will redeem myself  
My heart it can't rest 'til then  
Ooh whoa whoa I, I can't wait to see you again  
  
I got this crazy feelin' deep inside  
When you called and asked to see me tomorrow night  
I'm not a mind reader but I'm readin' the signs  
That you can't wait to see me again  
  
The last time I freaked out, I just kept lookin' down  
I st-st-stuttered when you asked me what I'm thinkin' 'bout  
Felt like I couldn't breathe, you asked what's wrong with me  
My best friend Lesley said, ""Oh she's just being Miley""  
  
The next time we hang out, I will redeem myself  
My heart it can't rest 'til then  
Ooh whoa whoa I, I can't wait to see you again!  
  
I got my sights set on you and I'm ready to aim  
  
The last time I freaked out, I just kept lookin' down  
I st-st-stuttered when you asked me what I'm thinkin' 'bout  
Felt like I couldn't breathe, you asked what's wrong with me  
My best friend Lesley said, ""Oh she's just being Miley""  
  
The next time we hang out, I will redeem myself  
My heart it can't rest 'til then  
Ooh whoa whoa I, I can't wait to see you again  
Ooh whoa whoa I, I can't wait to see you again

"
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,Die For You,"A hundred numbers on my wall  
Some with names I sometimes call  
I drop a coin and watch it fall  
Tryin' to get connected to you  
  
A thousand hours all alone  
My softest pillow turns hard as stone  
This is the longest night on my own  
Lying here thinking of you  
  
Sometimes I shake my head  
And laugh to myself  
I'd like start again with somebody else  
I'm like a broken toy forgotten on the shelf  
  
[Chorus]  
Baby, I could have been someone  
I could have been something  
It would have been nothing to die for you  
Baby, you're going to need me  
You'd better believe me  
It would have been easy to die for you  
  
A milloin memories flood my brain  
Drown my sorrow  
Kill my pain  
Wets my thirst for you again  
Just another night to get through  
  
All my neighbors scream for quite at my door  
Shattered glass and torn up photos thrown on the floor  
Well, I couldn't stand to see your pictures anymore  
  
[Chorus]  
  
These cuts are deep but you plead innocent  
Are you hell or are you heaven-sent?  
You're much too cold to know how much  
You meant to me, yeah  
  
A billion tear drops fallen from my eyes  
But it's just a joke now  
And I'm laughing at your lies  
You made me hard as rock and now I realize  
  
[Chorus]

"
Die For You,Joji,1,2022,11,4,1703,0,246390068,38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5,Die For You,"A hundred numbers on my wall  
Some with names I sometimes call  
I drop a coin and watch it fall  
Tryin' to get connected to you  
  
A thousand hours all alone  
My softest pillow turns hard as stone  
This is the longest night on my own  
Lying here thinking of you  
  
Sometimes I shake my head  
And laugh to myself  
I'd like start again with somebody else  
I'm like a broken toy forgotten on the shelf  
  
[Chorus]  
Baby, I could have been someone  
I could have been something  
It would have been nothing to die for you  
Baby, you're going to need me  
You'd better believe me  
It would have been easy to die for you  
  
A milloin memories flood my brain  
Drown my sorrow  
Kill my pain  
Wets my thirst for you again  
Just another night to get through  
  
All my neighbors scream for quite at my door  
Shattered glass and torn up photos thrown on the floor  
Well, I couldn't stand to see your pictures anymore  
  
[Chorus]  
  
These cuts are deep but you plead innocent  
Are you hell or are you heaven-sent?  
You're much too cold to know how much  
You meant to me, yeah  
  
A billion tear drops fallen from my eyes  
But it's just a joke now  
And I'm laughing at your lies  
You made me hard as rock and now I realize  
  
[Chorus]

"
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,Moonlight,"Yeah, stop, stop. Those wings will get wet oh, stop, stop  
In the gap between a deepening day you come slowly  
The darkness skims by and wakes me up  
And across the open window receding away  
  
Have you, you, you lost your way again  
The night air is still cold, get up  
So, baby, hold on I'm worried of leaving you alone  
I leave the road and follow behind you  
  
You shower in the pouring moonlight  
I haven't seen that entrancing expression before  
I look at you who's stopped like a picture and at the end of that gaze  
  
A place where I can't touch you and can't even hold you  
What's shining under the surface is not that person  
Your sad story that can't come true  
The closer you go, the more you'll hurt, so  
Just that love stop, stop, stop, stop, yeah  
Just that love stop, stop, stop, stop, yeah  
Like this I'm anxiously calling you  
Don't go babe, those wings will get wet  
  
No matter how much I tell you, you don't listen  
You throw your whole body towards him again  
Why do you dream a dangerous dream  
(Now stop those tiring [actions]) So that your heart can rest a little  
My heart watching you feels as if it'll rip as well  
  
You shower in the pouring moonlight  
I haven't seen that entrancing expression before  
I look at you who's stopped like a picture and at the end of that gaze  
  
A place where I can't touch you and can't even hold you  
What's shining under the surface is not that person  
Your sad story that can't come true  
The closer you go, the more you'll hurt, so  
Just that love stop, stop, stop, stop, yeah  
Just that love stop, stop, stop, stop, yeah  
Like this I'm anxiously calling you  
Don't go babe, those wings will get wet  
  
Like nothing happened you try  
Even though you're smiling towards me  
Your slender and pale shoulders shake a little, I'm telling you  
It's okay if you let everything go and rest at my side for just a little while  
When the sun rises, follow the place where the moon gets dark, fly away then,
yeah  
  
A place where I can't touch you and we can't be together  
What's shining under the surface is not that person  
Your sad story that can't come true  
The closer you go, the more you'll hurt, so  
Just that love stop, stop, stop, stop, yeah  
Just that love stop, stop, stop, stop, yeah  
Like this I'm anxiously calling you  
Don't go babe, those wings will get wet  
(Stop) those wings will get wet (stop) those wings will get wet

"
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,Yellow,"Look at the stars  
Look how they shine for you  
And everything you do  
Yeah they were all yellow  
  
I came along  
I wrote a song for you  
And all the things you do  
And it was called yellow  
  
So then I took my turn  
Oh what a thing to have done  
And it was all yellow  
  
Your skin  
Oh yeah your skin and bones  
Turn into something beautiful  
You know you know I love you so  
You know I love you so  
  
I swam across  
I jumped across for you  
Oh what a thing to do  
  
Cause you were all yellow  
I drew a line  
I drew a line for you  
Oh what a thing to do  
And it was all yellow  
  
Your skin  
Oh yeah your skin and bones  
Turn into something beautiful  
And you know  
For you I'd bleed myself dry  
For you I'd bleed myself dry  
  
It's true  
Look how they shine for you  
Look how they shine for you  
Look how they shine for  
Look how they shine for you  
Look how they shine for you  
Look how they shine  
  
Look at the stars  
Look how they shine for you  
And all the things that you do

"
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,Karma,"Oh baby, your face is dark, and your eyes are wild.  
Oh baby, you look to me as if you're still a child.  
  
Your innocence to me is so hard to believe,  
Just a spell in my past, tell me, how long will you last.  
  
Oh baby, you stole my lonely heart for you.  
Oh baby, I want to tell you what you can do.  
  
I no longer care about the things we shared, you always had your way.  
Won't you find a place today, won't you find a place to stay(repeat).

"
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,People,"People fly people flee  
People clam and say ""it wasn't me""  
People fish people beef  
People arm to teeth  
  
Yes, you've got people on the tube  
Walking on the moon  
People at the bottom of the sea  
People in tombs  
  
People in igloos  
Even a tribe of pygmies  
  
People are the main spring  
Turning the world around  
People, they're the main spring  
Spinning this world upside down  
  
People sun people toast  
People tire shile other people smoke  
People bowl people rock  
People pay to see two people box  
  
Watch me face me  
Dress me baby me  
Phone me wire me  
House me bug me fire me  
  
People are the main spring  
Spinning the world around  
People, they're the main spring  
Turning this world inside out

"
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,Overdrive,"Well, the room is a cyclone  
And you are in the eye  
There ain't no movement  
Things that could die  
But the reelin' and the spinnin'  
Of the rock and roll sides  
Will all be gone before midnight  
And die before sunrise  
You better go to overdrive  
Go to overdrive  
If you know what it is  
And you wanna stay alive  
You better go to overdrive  
Go to overdrive  
Yes, the corner's full of monkeys  
And your ear drum's full of lies  
Time is out the window  
And there's echoes in your sides  
They've been burnin' down your walls  
Ever since the peep of dawn  
And now the dealer's in the fireplace  
Tryin' to turn it on  
You better go to overdrive  
Go to overdrive  
If you know that it's time  
And you oughtta take a dive  
You better go to overdrive  
Go to overdrive  
Go to overdrive  
Go to overdrive  
You know what it is  
And you wanna stay alive  
You better go to overdrive  
Go to overdrive  
Now the light road's gettin' restless  
Cause he knows your overdue  
But it's just another train ride  
Bein' all the same to you  
And the last shot's at your finger tips  
Like that flicker in the grass  
And the last cord hits the ashes  
And you know you gotta pass  
You better go to overdrive  
Go to overdrive  
If you know that it's time  
And you oughtta take a dive  
You better go to overdrive  
Go to overdrive  
  

"
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,Viva La Vida,"I used to rule the world  
Seas would rise when I gave the word  
Now in the morning, I sleep alone  
Sweep the streets I used to own  
  
I used to roll the dice  
Feel the fear in my enemy's eyes  
Listen as the crowd would sing  
""Now the old king is dead! Long live the king!""  
  
One minute I held the key  
Next the walls were closed on me  
And I discovered that my castles stand  
Upon pillars of salt and pillars of sand  
  
I hear Jerusalem bells are ringing  
Roman Cavalry choirs are singing  
Be my mirror, my sword and shield  
My missionaries in a foreign field  
For some reason I can't explain  
Once you go there was never, never an honest word  
That was when I ruled the world  
  
It was a wicked and wild wind  
Blew down the doors to let me in  
Shattered windows and the sound of drums  
People couldn't believe what I'd become  
  
Revolutionaries wait  
For my head on a silver plate  
Just a puppet on a lonely string  
Oh who would ever want to be king?  
  
[Chorus]  
I hear Jerusalem bells are ringing  
Roman Calvary choirs are singing  
Be my mirror, my sword and shield  
My missionaries in a foreign field  
For some reason I can't explain  
I know Saint Peter won't call my name  
Never rule this world  
But that was when I ruled the world  
  
Oh, oh, oh, oh, oh  
  
[Chorus]

"
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,Here With Me,"Maybe it's too late  
But this feelin' is runnin' through my soul  
I think I learned what love is, but I'm afraid I let it go  
Maybe it's too late  
Maybe you've already changed your mind  
Turned lovin' into leavin'  
And I'm on the outside  
  
You can take these words to bed with you  
And hold on to them at night  
They can erase the emptiness  
And make everything alright  
But your laughter and your tenderness  
Will never disappear  
No matter where you are tonight  
A part of you is here with me  
  
Here with me  
I don't know where you are  
All I know is I need you to be  
Here with me  
I know it's not too late  
to turn around and get it straight  
It's my fate to have you here with me  
  
I can hear your voice  
Promising your love will never die  
I can feel your golden skin on mine  
Beneath the desert sky  
So how can it be true  
How can you just turn and let me go  
Let the story of your life with mine  
Forever go untold  
  
I can take these words to bed with me  
And hold on to them at night  
They can erase the emptiness  
And make everything alright  
Cause your laughter and your tenderness  
Will never disappear  
No matter where you are tonight  
A part of you is here with me  
  
[Chorus]  
  
[Repeat Chorus]  
  
Here with me (are you here with me)  
I don't know where you are (don't know where)  
All I know is, I need you to be, ohohwhoa  
Here with me  
I know it's not too late (know it's not too late)  
To turn around and get it straight  
Here with me...

"
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,Riptide,"She's out of her mind  
like the wind in the storm  
Oh, like the ocean in the dawn  
as it disappears, with the riptide  
  
She's out of her mind  
she's pulled away by the moon  
She's ripped from her sleep  
as the cold luna sweep gains control  
  
Ooohhh, what you gonna do with your emotions  
Ah, ones you barely recognize  
In your sleep I heard your screaming, ooohhh  
""This is not voluntary! This is not voluntary!  
If this is life I'd rather die!""  
  
In the riptide, in the riptide  
  
She's out of her mind, riptide  
like a muscle that swells  
You know when you trip  
whether you're well or sick, your body aches  
  
She's out with the tide  
gone to a prisoner's dance  
Where a monkey's her date  
eating limbs off a plate with a spoon  
  
Ooohhh, what you gonna do with your emotions  
said the seagull to the loon  
What you gonna do with your emotions  
  
She said ""Please wake me up""  
She said ""Don't touch me now""  
She said ""I wish I was dead""  
  
With the riptide  
  
She's out of her mind  
riptide, you always win  
It happens over and over again  
riptide  
  
She's out of her mind  
like a hurricane's rain  
She does not stand a chance  
at this luna dance, riptide  
  
I was thinking of Van Gogh's last painting  
the wheatfields and the crows  
Is that perhaps what you've been feeling  
When you see the ground  
as you fall from the shy  
As the floors disappears from beneath your feet riptide  
  
She's going out of her mind  
out with the tide  
out of her mind  
riptide  
  
She's going out of her mind  
with the riptide  
She's going out of her mind  
ah, riptide  

"
